ts,config,write_id,key,true_class,predicted_class,action,is_false,version_read,version_at_commit,classify_ms,escalated
37,no_gating,37,magnitude::the_storage_quota::37,bootstrap,n/a,apply,False,0,1,0.0,False
38,no_gating,38,status::the_offline_mode::38,bootstrap,n/a,apply,False,0,1,0.0,False
39,no_gating,39,ship_date::the_partner_integration::39,bootstrap,n/a,apply,False,0,1,0.0,False
40,no_gating,40,status::the_offline_mode::2,duplicate,n/a,apply,False,1,2,0.0,False
41,no_gating,41,status::the_offline_mode::38,duplicate,n/a,apply,False,1,2,0.0,False
42,no_gating,42,ship_date::the_data_migration::33,contradiction,n/a,apply,True,1,2,0.0,False
43,no_gating,43,ship_date::the_beta_rollout::12,refinement,n/a,apply,False,1,2,0.0,False
44,no_gating,44,status::the_dark_mode_rollout::32,refinement,n/a,apply,False,1,2,0.0,False
45,no_gating,45,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,1,2,0.0,False
46,no_gating,46,ship_date::the_vendor_contract_renewal::18,contradiction,n/a,apply,True,1,2,0.0,False
47,no_gating,47,ship_date::the_partner_integration::6,refinement,n/a,apply,False,1,2,0.0,False
48,no_gating,48,status::the_dark_mode_rollout::32,update,n/a,apply,False,2,3,0.0,False
49,no_gating,49,status::the_referral_program::11,contradiction,n/a,apply,True,1,2,0.0,False
50,no_gating,50,ship_date::the_data_migration::30,contradiction,n/a,apply,True,1,2,0.0,False
51,no_gating,51,magnitude::the_storage_quota::31,update,n/a,apply,False,1,2,0.0,False
52,no_gating,52,status::the_audit_log_feature::26,update,n/a,apply,False,1,2,0.0,False
53,no_gating,53,status::the_dark_mode_rollout::5,contradiction,n/a,apply,True,1,2,0.0,False
54,no_gating,54,magnitude::the_storage_quota::37,duplicate,n/a,apply,False,1,2,0.0,False
55,no_gating,55,status::the_dark_mode_rollout::5,refinement,n/a,apply,False,2,3,0.0,False
56,no_gating,56,magnitude::the_budget::7,duplicate,n/a,apply,False,1,2,0.0,False
57,no_gating,57,magnitude::the_infra_budget::34,update,n/a,apply,False,1,2,0.0,False
58,no_gating,58,magnitude::the_storage_quota::22,update,n/a,apply,False,1,2,0.0,False
59,no_gating,59,ship_date::the_Q3_roadmap_review::36,update,n/a,apply,False,1,2,0.0,False
60,no_gating,60,status::Feature_X::8,update,n/a,apply,False,1,2,0.0,False
61,no_gating,61,status::Feature_X::8,refinement,n/a,apply,False,2,3,0.0,False
62,no_gating,62,status::the_dark_mode_rollout::32,contradiction,n/a,apply,True,3,4,0.0,False
63,no_gating,63,status::the_audit_log_feature::26,duplicate,n/a,apply,False,2,3,0.0,False
64,no_gating,64,status::Feature_X::8,update,n/a,apply,False,3,4,0.0,False
65,no_gating,65,magnitude::the_storage_quota::19,contradiction,n/a,apply,True,1,2,0.0,False
66,no_gating,66,ship_date::the_vendor_contract_renewal::9,refinement,n/a,apply,False,1,2,0.0,False
67,no_gating,67,ship_date::the_API_migration::0,duplicate,n/a,apply,False,1,2,0.0,False
68,no_gating,68,ship_date::the_beta_rollout::24,contradiction,n/a,apply,True,1,2,0.0,False
69,no_gating,69,magnitude::the_storage_quota::22,duplicate,n/a,apply,False,2,3,0.0,False
70,no_gating,70,magnitude::the_budget::1,update,n/a,apply,True,1,2,0.0,False
71,no_gating,71,magnitude::the_storage_quota::19,refinement,n/a,apply,False,2,3,0.0,False
72,no_gating,72,magnitude::the_storage_quota::31,contradiction,n/a,apply,True,2,3,0.0,False
73,no_gating,73,magnitude::the_support_queue::10,refinement,n/a,apply,False,1,2,0.0,False
74,no_gating,74,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,2,3,0.0,False
75,no_gating,75,status::the_dark_mode_rollout::14,refinement,n/a,apply,False,1,2,0.0,False
76,no_gating,76,magnitude::the_infra_budget::25,duplicate,n/a,apply,False,1,2,0.0,False
77,no_gating,77,status::the_referral_program::11,duplicate,n/a,apply,False,2,3,0.0,False
78,no_gating,78,magnitude::the_infra_budget::34,duplicate,n/a,apply,False,2,3,0.0,False
79,no_gating,79,ship_date::the_onboarding_revamp::3,contradiction,n/a,apply,True,1,2,0.0,False
80,no_gating,80,ship_date::the_beta_rollout::12,contradiction,n/a,apply,True,2,3,0.0,False
81,no_gating,81,magnitude::the_budget::1,update,n/a,apply,False,2,3,0.0,False
82,no_gating,82,ship_date::the_data_migration::33,duplicate,n/a,apply,False,2,3,0.0,False
83,no_gating,83,status::Feature_X::8,contradiction,n/a,apply,True,4,5,0.0,False
84,no_gating,84,status::the_referral_program::11,duplicate,n/a,apply,False,3,4,0.0,False
85,no_gating,85,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,3,4,0.0,False
86,no_gating,86,ship_date::the_beta_rollout::24,contradiction,n/a,apply,True,2,3,0.0,False
87,no_gating,87,status::the_referral_program::11,duplicate,n/a,apply,False,4,5,0.0,False
88,no_gating,88,magnitude::the_storage_quota::31,duplicate,n/a,apply,False,3,4,0.0,False
89,no_gating,89,status::the_audit_log_feature::26,contradiction,n/a,apply,True,3,4,0.0,False
90,no_gating,90,status::the_referral_program::11,duplicate,n/a,apply,False,5,6,0.0,False
91,no_gating,91,ship_date::the_data_migration::30,refinement,n/a,apply,False,2,3,0.0,False
92,no_gating,92,ship_date::the_data_migration::33,refinement,n/a,apply,False,3,4,0.0,False
93,no_gating,93,magnitude::the_budget::13,update,n/a,apply,False,1,2,0.0,False
94,no_gating,94,ship_date::the_onboarding_revamp::21,contradiction,n/a,apply,True,1,2,0.0,False
95,no_gating,95,status::the_referral_program::11,refinement,n/a,apply,False,6,7,0.0,False
96,no_gating,96,magnitude::the_support_queue::10,refinement,n/a,apply,False,2,3,0.0,False
97,no_gating,97,magnitude::the_infra_budget::34,update,n/a,apply,False,3,4,0.0,False
98,no_gating,98,status::the_offline_mode::35,update,n/a,apply,False,1,2,0.0,False
99,no_gating,99,ship_date::the_Q3_roadmap_review::36,update,n/a,apply,False,2,3,0.0,False
100,no_gating,100,status::Feature_X::8,update,n/a,apply,False,5,6,0.0,False
101,no_gating,101,ship_date::the_onboarding_revamp::27,duplicate,n/a,apply,False,4,5,0.0,False
102,no_gating,102,ship_date::the_onboarding_revamp::3,duplicate,n/a,apply,False,2,3,0.0,False
103,no_gating,103,status::the_referral_program::11,update,n/a,apply,False,7,8,0.0,False
104,no_gating,104,status::the_dark_mode_rollout::20,duplicate,n/a,apply,False,1,2,0.0,False
105,no_gating,105,magnitude::the_marketing_spend::4,duplicate,n/a,apply,False,1,2,0.0,False
106,no_gating,106,status::the_dark_mode_rollout::20,duplicate,n/a,apply,False,2,3,0.0,False
107,no_gating,107,magnitude::the_headcount_plan::16,duplicate,n/a,apply,False,1,2,0.0,False
108,no_gating,108,status::the_audit_log_feature::26,duplicate,n/a,apply,False,4,5,0.0,False
109,no_gating,109,magnitude::the_headcount_plan::16,contradiction,n/a,apply,True,2,3,0.0,False
110,no_gating,110,ship_date::the_onboarding_revamp::3,contradiction,n/a,apply,True,3,4,0.0,False
111,no_gating,111,magnitude::the_storage_quota::19,duplicate,n/a,apply,False,3,4,0.0,False
112,no_gating,112,status::the_offline_mode::35,duplicate,n/a,apply,False,2,3,0.0,False
113,no_gating,113,magnitude::the_storage_quota::22,refinement,n/a,apply,False,3,4,0.0,False
114,no_gating,114,ship_date::the_partner_integration::39,refinement,n/a,apply,True,1,2,0.0,False
115,no_gating,115,magnitude::the_budget::13,refinement,n/a,apply,False,2,3,0.0,False
116,no_gating,116,magnitude::the_budget::7,refinement,n/a,apply,False,2,3,0.0,False
117,no_gating,117,magnitude::the_headcount_plan::16,contradiction,n/a,apply,True,3,4,0.0,False
118,no_gating,118,magnitude::the_storage_quota::22,duplicate,n/a,apply,False,4,5,0.0,False
119,no_gating,119,ship_date::the_onboarding_revamp::27,duplicate,n/a,apply,False,5,6,0.0,False
120,no_gating,120,ship_date::the_vendor_contract_renewal::18,contradiction,n/a,apply,True,2,3,0.0,False
121,no_gating,121,magnitude::the_budget::7,refinement,n/a,apply,False,3,4,0.0,False
122,no_gating,122,magnitude::the_storage_quota::37,refinement,n/a,apply,False,2,3,0.0,False
123,no_gating,123,ship_date::the_onboarding_revamp::21,refinement,n/a,apply,False,2,3,0.0,False
124,no_gating,124,magnitude::the_budget::7,duplicate,n/a,apply,False,4,5,0.0,False
125,no_gating,125,magnitude::the_budget::7,duplicate,n/a,apply,False,5,6,0.0,False
126,no_gating,126,status::Feature_X::8,duplicate,n/a,apply,False,6,7,0.0,False
127,no_gating,127,status::the_offline_mode::38,refinement,n/a,apply,False,2,3,0.0,False
128,no_gating,128,magnitude::the_budget::1,update,n/a,apply,False,3,4,0.0,False
129,no_gating,129,ship_date::the_beta_rollout::24,refinement,n/a,apply,False,3,4,0.0,False
130,no_gating,130,status::the_dark_mode_rollout::14,update,n/a,apply,False,2,3,0.0,False
131,no_gating,131,magnitude::the_budget::1,duplicate,n/a,apply,False,4,5,0.0,False
132,no_gating,132,magnitude::the_infra_budget::34,update,n/a,apply,False,4,5,0.0,False
133,no_gating,133,ship_date::the_vendor_contract_renewal::9,contradiction,n/a,apply,True,2,3,0.0,False
134,no_gating,134,status::the_export_tool::17,duplicate,n/a,apply,False,1,2,0.0,False
135,no_gating,135,status::the_audit_log_feature::26,refinement,n/a,apply,False,5,6,0.0,False
136,no_gating,136,magnitude::the_storage_quota::37,refinement,n/a,apply,True,3,4,0.0,False
137,no_gating,137,status::the_dark_mode_rollout::32,refinement,n/a,apply,False,4,5,0.0,False
138,no_gating,138,ship_date::the_data_migration::33,refinement,n/a,apply,False,4,5,0.0,False
139,no_gating,139,ship_date::the_API_migration::0,refinement,n/a,apply,False,2,3,0.0,False
140,no_gating,140,ship_date::the_onboarding_revamp::3,duplicate,n/a,apply,False,4,5,0.0,False
141,no_gating,141,status::the_dark_mode_rollout::32,contradiction,n/a,apply,True,5,6,0.0,False
142,no_gating,142,magnitude::the_infra_budget::25,contradiction,n/a,apply,True,2,3,0.0,False
143,no_gating,143,status::the_dark_mode_rollout::14,contradiction,n/a,apply,True,3,4,0.0,False
144,no_gating,144,status::the_export_tool::17,refinement,n/a,apply,False,2,3,0.0,False
145,no_gating,145,magnitude::the_storage_quota::22,duplicate,n/a,apply,False,5,6,0.0,False
146,no_gating,146,status::the_dark_mode_rollout::29,refinement,n/a,apply,False,1,2,0.0,False
147,no_gating,147,magnitude::the_storage_quota::37,refinement,n/a,apply,False,4,5,0.0,False
148,no_gating,148,status::the_audit_log_feature::26,duplicate,n/a,apply,False,6,7,0.0,False
149,no_gating,149,ship_date::the_API_migration::0,duplicate,n/a,apply,False,3,4,0.0,False
150,no_gating,150,ship_date::the_data_migration::33,contradiction,n/a,apply,True,5,6,0.0,False
151,no_gating,151,status::the_offline_mode::2,refinement,n/a,apply,False,2,3,0.0,False
152,no_gating,152,status::the_offline_mode::23,duplicate,n/a,apply,False,1,2,0.0,False
153,no_gating,153,magnitude::the_headcount_plan::16,refinement,n/a,apply,False,4,5,0.0,False
154,no_gating,154,magnitude::the_budget::1,update,n/a,apply,False,5,6,0.0,False
155,no_gating,155,magnitude::the_storage_quota::37,update,n/a,apply,False,5,6,0.0,False
156,no_gating,156,ship_date::the_beta_rollout::24,contradiction,n/a,apply,True,4,5,0.0,False
157,no_gating,157,ship_date::the_data_migration::33,contradiction,n/a,apply,True,6,7,0.0,False
158,no_gating,158,status::the_dark_mode_rollout::32,update,n/a,apply,False,6,7,0.0,False
159,no_gating,159,ship_date::the_beta_rollout::24,duplicate,n/a,apply,False,5,6,0.0,False
160,no_gating,160,magnitude::the_headcount_plan::16,refinement,n/a,apply,False,5,6,0.0,False
161,no_gating,161,ship_date::the_beta_rollout::12,update,n/a,apply,False,3,4,0.0,False
162,no_gating,162,ship_date::the_vendor_contract_renewal::18,duplicate,n/a,apply,False,3,4,0.0,False
163,no_gating,163,ship_date::the_beta_rollout::24,refinement,n/a,apply,False,6,7,0.0,False
164,no_gating,164,ship_date::the_API_migration::0,update,n/a,apply,False,4,5,0.0,False
165,no_gating,165,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,6,7,0.0,False
166,no_gating,166,magnitude::the_infra_budget::34,update,n/a,apply,False,5,6,0.0,False
167,no_gating,167,status::the_dark_mode_rollout::20,duplicate,n/a,apply,False,3,4,0.0,False
168,no_gating,168,magnitude::the_support_queue::10,refinement,n/a,apply,True,3,4,0.0,False
169,no_gating,169,ship_date::the_API_migration::0,refinement,n/a,apply,False,5,6,0.0,False
170,no_gating,170,magnitude::the_storage_quota::19,duplicate,n/a,apply,False,4,5,0.0,False
171,no_gating,171,ship_date::the_vendor_contract_renewal::9,duplicate,n/a,apply,False,3,4,0.0,False
172,no_gating,172,ship_date::the_partner_integration::15,refinement,n/a,apply,False,1,2,0.0,False
173,no_gating,173,magnitude::the_storage_quota::31,contradiction,n/a,apply,True,4,5,0.0,False
174,no_gating,174,magnitude::the_marketing_spend::4,contradiction,n/a,apply,True,2,3,0.0,False
175,no_gating,175,magnitude::the_storage_quota::19,duplicate,n/a,apply,False,5,6,0.0,False
176,no_gating,176,magnitude::the_storage_quota::22,update,n/a,apply,False,6,7,0.0,False
177,no_gating,177,ship_date::the_data_migration::33,duplicate,n/a,apply,False,7,8,0.0,False
178,no_gating,178,magnitude::the_storage_quota::22,duplicate,n/a,apply,False,7,8,0.0,False
179,no_gating,179,status::the_dark_mode_rollout::29,update,n/a,apply,False,2,3,0.0,False
180,no_gating,180,magnitude::the_marketing_spend::4,refinement,n/a,apply,False,3,4,0.0,False
181,no_gating,181,magnitude::the_storage_quota::31,duplicate,n/a,apply,False,5,6,0.0,False
182,no_gating,182,magnitude::the_headcount_plan::16,update,n/a,apply,False,6,7,0.0,False
183,no_gating,183,ship_date::the_onboarding_revamp::27,duplicate,n/a,apply,False,7,8,0.0,False
184,no_gating,184,ship_date::the_onboarding_revamp::21,refinement,n/a,apply,False,3,4,0.0,False
185,no_gating,185,magnitude::the_storage_quota::31,contradiction,n/a,apply,True,6,7,0.0,False
186,no_gating,186,ship_date::the_beta_rollout::12,refinement,n/a,apply,False,4,5,0.0,False
187,no_gating,187,magnitude::the_storage_quota::22,duplicate,n/a,apply,False,8,9,0.0,False
188,no_gating,188,magnitude::the_storage_quota::22,update,n/a,apply,False,9,10,0.0,False
189,no_gating,189,magnitude::the_budget::13,refinement,n/a,apply,False,3,4,0.0,False
190,no_gating,190,status::Feature_X::8,update,n/a,apply,False,7,8,0.0,False
191,no_gating,191,magnitude::the_budget::7,refinement,n/a,apply,False,6,7,0.0,False
192,no_gating,192,magnitude::the_headcount_plan::28,update,n/a,apply,False,1,2,0.0,False
193,no_gating,193,status::the_dark_mode_rollout::14,update,n/a,apply,False,4,5,0.0,False
194,no_gating,194,magnitude::the_budget::7,duplicate,n/a,apply,False,7,8,0.0,False
195,no_gating,195,ship_date::the_Q3_roadmap_review::36,duplicate,n/a,apply,False,3,4,0.0,False
196,no_gating,196,magnitude::the_infra_budget::25,refinement,n/a,apply,False,3,4,0.0,False
197,no_gating,197,ship_date::the_onboarding_revamp::21,refinement,n/a,apply,False,4,5,0.0,False
198,no_gating,198,magnitude::the_storage_quota::31,refinement,n/a,apply,False,7,8,0.0,False
199,no_gating,199,magnitude::the_infra_budget::34,update,n/a,apply,False,6,7,0.0,False
200,no_gating,200,ship_date::the_onboarding_revamp::21,refinement,n/a,apply,True,5,6,0.0,False
201,no_gating,201,ship_date::the_API_migration::0,update,n/a,apply,False,6,7,0.0,False
202,no_gating,202,ship_date::the_onboarding_revamp::21,duplicate,n/a,apply,False,6,7,0.0,False
203,no_gating,203,ship_date::the_partner_integration::39,refinement,n/a,apply,False,2,3,0.0,False
204,no_gating,204,ship_date::the_data_migration::30,update,n/a,apply,False,3,4,0.0,False
205,no_gating,205,status::the_offline_mode::2,refinement,n/a,apply,False,3,4,0.0,False
206,no_gating,206,status::the_export_tool::17,update,n/a,apply,False,3,4,0.0,False
207,no_gating,207,status::the_dark_mode_rollout::29,update,n/a,apply,False,3,4,0.0,False
208,no_gating,208,status::the_offline_mode::23,update,n/a,apply,True,2,3,0.0,False
209,no_gating,209,magnitude::the_infra_budget::34,update,n/a,apply,False,7,8,0.0,False
210,no_gating,210,status::the_dark_mode_rollout::14,duplicate,n/a,apply,False,5,6,0.0,False
211,no_gating,211,magnitude::the_budget::13,contradiction,n/a,apply,True,4,5,0.0,False
212,no_gating,212,magnitude::the_storage_quota::19,update,n/a,apply,True,6,7,0.0,False
213,no_gating,213,magnitude::the_storage_quota::37,update,n/a,apply,False,6,7,0.0,False
214,no_gating,214,status::the_audit_log_feature::26,duplicate,n/a,apply,False,7,8,0.0,False
215,no_gating,215,status::the_offline_mode::35,duplicate,n/a,apply,False,3,4,0.0,False
216,no_gating,216,status::the_dark_mode_rollout::14,update,n/a,apply,False,6,7,0.0,False
217,no_gating,217,ship_date::the_onboarding_revamp::21,contradiction,n/a,apply,True,7,8,0.0,False
218,no_gating,218,status::the_offline_mode::38,refinement,n/a,apply,False,3,4,0.0,False
219,no_gating,219,status::the_dark_mode_rollout::20,refinement,n/a,apply,False,4,5,0.0,False
220,no_gating,220,magnitude::the_storage_quota::31,duplicate,n/a,apply,False,8,9,0.0,False
221,no_gating,221,ship_date::the_data_migration::30,duplicate,n/a,apply,False,4,5,0.0,False
222,no_gating,222,magnitude::the_headcount_plan::16,update,n/a,apply,False,7,8,0.0,False
223,no_gating,223,status::the_export_tool::17,duplicate,n/a,apply,False,4,5,0.0,False
224,no_gating,224,magnitude::the_infra_budget::25,refinement,n/a,apply,False,4,5,0.0,False
225,no_gating,225,status::the_audit_log_feature::26,refinement,n/a,apply,False,8,9,0.0,False
226,no_gating,226,status::the_dark_mode_rollout::32,update,n/a,apply,False,7,8,0.0,False
227,no_gating,227,magnitude::the_storage_quota::19,update,n/a,apply,False,7,8,0.0,False
228,no_gating,228,status::the_dark_mode_rollout::32,duplicate,n/a,apply,False,8,9,0.0,False
229,no_gating,229,status::the_offline_mode::38,contradiction,n/a,apply,True,4,5,0.0,False
230,no_gating,230,status::the_dark_mode_rollout::20,refinement,n/a,apply,False,5,6,0.0,False
231,no_gating,231,magnitude::the_marketing_spend::4,refinement,n/a,apply,False,4,5,0.0,False
232,no_gating,232,status::the_referral_program::11,contradiction,n/a,apply,True,8,9,0.0,False
233,no_gating,233,ship_date::the_data_migration::33,update,n/a,apply,False,8,9,0.0,False
234,no_gating,234,status::the_offline_mode::38,update,n/a,apply,False,5,6,0.0,False
235,no_gating,235,ship_date::the_partner_integration::15,duplicate,n/a,apply,False,2,3,0.0,False
236,no_gating,236,status::the_dark_mode_rollout::32,duplicate,n/a,apply,False,9,10,0.0,False
237,no_gating,237,status::Feature_X::8,contradiction,n/a,apply,True,8,9,0.0,False
238,no_gating,238,status::the_export_tool::17,refinement,n/a,apply,False,5,6,0.0,False
239,no_gating,239,status::Feature_X::8,update,n/a,apply,False,9,10,0.0,False
240,no_gating,240,status::the_dark_mode_rollout::20,update,n/a,apply,False,6,7,0.0,False
241,no_gating,241,magnitude::the_infra_budget::34,update,n/a,apply,False,8,9,0.0,False
242,no_gating,242,status::the_offline_mode::38,duplicate,n/a,apply,False,6,7,0.0,False
243,no_gating,243,ship_date::the_vendor_contract_renewal::9,refinement,n/a,apply,False,4,5,0.0,False
244,no_gating,244,ship_date::the_Q3_roadmap_review::36,duplicate,n/a,apply,False,4,5,0.0,False
245,no_gating,245,status::the_offline_mode::2,duplicate,n/a,apply,False,4,5,0.0,False
246,no_gating,246,magnitude::the_storage_quota::19,duplicate,n/a,apply,False,8,9,0.0,False
247,no_gating,247,status::the_referral_program::11,contradiction,n/a,apply,True,9,10,0.0,False
248,no_gating,248,magnitude::the_infra_budget::34,duplicate,n/a,apply,False,9,10,0.0,False
249,no_gating,249,status::Feature_X::8,update,n/a,apply,False,10,11,0.0,False
250,no_gating,250,ship_date::the_onboarding_revamp::3,duplicate,n/a,apply,False,5,6,0.0,False
251,no_gating,251,ship_date::the_vendor_contract_renewal::9,update,n/a,apply,False,5,6,0.0,False
252,no_gating,252,magnitude::the_infra_budget::34,refinement,n/a,apply,False,10,11,0.0,False
253,no_gating,253,status::the_dark_mode_rollout::32,refinement,n/a,apply,False,10,11,0.0,False
254,no_gating,254,status::the_dark_mode_rollout::29,refinement,n/a,apply,False,4,5,0.0,False
255,no_gating,255,status::the_dark_mode_rollout::20,refinement,n/a,apply,False,7,8,0.0,False
256,no_gating,256,ship_date::the_data_migration::30,refinement,n/a,apply,True,5,6,0.0,False
257,no_gating,257,magnitude::the_headcount_plan::16,refinement,n/a,apply,False,8,9,0.0,False
258,no_gating,258,status::the_dark_mode_rollout::32,duplicate,n/a,apply,False,11,12,0.0,False
259,no_gating,259,status::the_dark_mode_rollout::5,duplicate,n/a,apply,False,3,4,0.0,False
260,no_gating,260,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,8,9,0.0,False
261,no_gating,261,ship_date::the_partner_integration::15,update,n/a,apply,False,3,4,0.0,False
262,no_gating,262,magnitude::the_support_queue::10,duplicate,n/a,apply,False,4,5,0.0,False
263,no_gating,263,ship_date::the_onboarding_revamp::27,refinement,n/a,apply,False,9,10,0.0,False
264,no_gating,264,status::the_offline_mode::23,refinement,n/a,apply,False,3,4,0.0,False
265,no_gating,265,magnitude::the_headcount_plan::28,contradiction,n/a,apply,True,2,3,0.0,False
266,no_gating,266,status::the_dark_mode_rollout::5,update,n/a,apply,False,4,5,0.0,False
267,no_gating,267,ship_date::the_beta_rollout::12,duplicate,n/a,apply,False,5,6,0.0,False
268,no_gating,268,status::the_dark_mode_rollout::5,duplicate,n/a,apply,False,5,6,0.0,False
269,no_gating,269,ship_date::the_partner_integration::39,refinement,n/a,apply,False,3,4,0.0,False
270,no_gating,270,magnitude::the_budget::13,duplicate,n/a,apply,False,5,6,0.0,False
271,no_gating,271,ship_date::the_beta_rollout::12,update,n/a,apply,False,6,7,0.0,False
272,no_gating,272,ship_date::the_vendor_contract_renewal::9,duplicate,n/a,apply,False,6,7,0.0,False
273,no_gating,273,status::the_export_tool::17,update,n/a,apply,False,6,7,0.0,False
274,no_gating,274,ship_date::the_API_migration::0,refinement,n/a,apply,False,7,8,0.0,False
275,no_gating,275,status::the_export_tool::17,refinement,n/a,apply,False,7,8,0.0,False
276,no_gating,276,status::Feature_X::8,refinement,n/a,apply,False,11,12,0.0,False
277,no_gating,277,status::the_dark_mode_rollout::14,duplicate,n/a,apply,False,7,8,0.0,False
278,no_gating,278,status::the_dark_mode_rollout::29,contradiction,n/a,apply,True,5,6,0.0,False
279,no_gating,279,magnitude::the_storage_quota::37,refinement,n/a,apply,True,7,8,0.0,False
280,no_gating,280,status::the_dark_mode_rollout::20,update,n/a,apply,False,8,9,0.0,False
281,no_gating,281,status::the_dark_mode_rollout::5,contradiction,n/a,apply,True,6,7,0.0,False
282,no_gating,282,magnitude::the_storage_quota::22,refinement,n/a,apply,False,10,11,0.0,False
283,no_gating,283,ship_date::the_data_migration::33,update,n/a,apply,False,9,10,0.0,False
284,no_gating,284,status::the_dark_mode_rollout::5,duplicate,n/a,apply,False,7,8,0.0,False
285,no_gating,285,magnitude::the_marketing_spend::4,refinement,n/a,apply,False,5,6,0.0,False
286,no_gating,286,ship_date::the_partner_integration::6,refinement,n/a,apply,False,2,3,0.0,False
287,no_gating,287,ship_date::the_Q3_roadmap_review::36,update,n/a,apply,False,5,6,0.0,False
288,no_gating,288,magnitude::the_budget::1,refinement,n/a,apply,False,6,7,0.0,False
289,no_gating,289,magnitude::the_budget::1,refinement,n/a,apply,False,7,8,0.0,False
290,no_gating,290,magnitude::the_infra_budget::34,duplicate,n/a,apply,False,11,12,0.0,False
291,no_gating,291,magnitude::the_budget::1,contradiction,n/a,apply,True,8,9,0.0,False
292,no_gating,292,magnitude::the_marketing_spend::4,update,n/a,apply,False,6,7,0.0,False
293,no_gating,293,ship_date::the_onboarding_revamp::21,duplicate,n/a,apply,False,8,9,0.0,False
294,no_gating,294,magnitude::the_storage_quota::19,update,n/a,apply,False,9,10,0.0,False
